id,time,x,y,z
3573867796,0,849,225,290
3573867796,1,869,225,290
3573867796,2,889,225,290
3573867796,3,909,225,290
3573867796,4,929,225,290
3573867796,5,949,225,290
3573867796,6,969,225,290
3573867796,7,969,245,290
3573867796,8,969,265,290
3573867796,9,969,285,290
3573867796,10,969,305,290
3573867796,11,969,325,290
3573867796,12,969,345,290
3573867796,13,969,365,290
3573867796,14,969,385,290
3573867796,15,969,405,290
3573867796,16,969,425,290
3573867796,17,969,445,290
3573867796,18,969,465,290
3573867796,19,949,465,290
3573867796,20,929,465,290
3573867796,21,909,465,290
3573867796,22,889,465,290
3573867796,23,869,465,290
3573867796,24,849,465,290
3573867796,25,849,445,290
3573867796,26,849,425,290
3573867796,27,849,405,290
3573867796,28,849,385,290
3573867796,29,849,365,290
3573867796,30,849,345,290
3573867796,31,849,325,290
3573867796,32,849,305,290
3573867796,33,849,285,290
3573867796,34,849,265,290
3573867796,35,849,245,290
3573867796,36,849,225,290
3573867796,37,849,205,290
3573867796,38,849,185,290
3573867796,39,849,165,290
3573867796,40,849,145,290
3573867796,41,849,125,290
3573867796,42,849,105,290
3573867796,43,829,105,290
3573867796,44,809,105,290
3573867796,45,789,105,290
3573867796,46,769,105,290
3573867796,47,749,105,290
3573867796,48,729,105,290
3573867796,49,729,85,290
3573867796,50,729,65,290
3573867796,51,729,45,290
3573867796,52,729,25,290
3573867796,53,729,5,290
3573867796,54,729,-15,290
3573867796,55,709,-15,290
3573867796,56,689,-15,290
3573867796,57,669,-15,290
3573867796,58,649,-15,290
3573867796,59,629,-15,290
3573867796,60,609,-15,290
3573867796,61,589,-15,290
3573867796,62,569,-15,290
3573867796,63,549,-15,290
3573867796,64,529,-15,290
3573867796,65,509,-15,290
3573867796,66,489,-15,290
3573867796,67,469,-15,290
3573867796,68,449,-15,290
3573867796,69,429,-15,290
3573867796,70,409,-15,290
3573867796,71,389,-15,290
3573867796,72,369,-15,290
3573867796,73,349,-15,290
3573867796,74,329,-15,290
3573867796,75,309,-15,290
3573867796,76,289,-15,290
3573867796,77,269,-15,290
3573867796,78,249,-15,290
3573867796,79,229,-15,290
3573867796,80,209,-15,290
3573867796,81,189,-15,290
3573867796,82,169,-15,290
3573867796,83,149,-15,290
3573867797,0,437,924,280
3573867797,1,457,924,280
3573867797,2,477,924,280
3573867797,3,497,924,280
3573867797,4,517,924,280
3573867797,5,537,924,280
3573867797,6,557,924,280
3573867797,7,577,924,280
3573867797,8,597,924,280
3573867797,9,617,924,280
3573867797,10,637,924,280
3573867797,11,657,924,280
3573867797,12,677,924,280
3573867797,13,677,904,280
3573867797,14,677,884,280
3573867797,15,677,864,280
3573867797,16,677,844,280
3573867797,17,677,824,280
3573867797,18,677,804,280
3573867797,19,657,804,280
3573867797,20,637,804,280
3573867797,21,617,804,280
3573867797,22,597,804,280
3573867797,23,577,804,280
3573867797,24,557,804,280
3573867797,25,577,804,280
3573867797,26,597,804,280
3573867797,27,617,804,280
3573867797,28,637,804,280
3573867797,29,657,804,280
3573867797,30,677,804,280
3573867797,31,677,784,280
3573867797,32,677,764,280
3573867797,33,677,744,280
3573867797,34,677,724,280
3573867797,35,677,704,280
3573867797,36,677,684,280
3573867797,37,677,664,280
3573867797,38,677,644,280
3573867797,39,677,624,280
3573867797,40,677,604,280
3573867797,41,677,584,280
3573867797,42,677,564,280
3573867797,43,677,544,280
3573867797,44,677,524,280
3573867797,45,677,504,280
3573867797,46,677,484,280
3573867797,47,677,464,280
3573867797,48,677,444,280
3573867797,49,697,444,280
3573867797,50,717,444,280
3573867797,51,737,444,280
3573867797,52,757,444,280
3573867797,53,777,444,280
3573867797,54,797,444,280
3573867797,55,797,464,280
3573867797,56,797,484,280
3573867797,57,797,504,280
3573867797,58,797,524,280
3573867797,59,797,544,280
3573867797,60,797,564,280
3573867797,61,817,564,280
3573867797,62,837,564,280
3573867797,63,857,564,280
3573867797,64,877,564,280
3573867797,65,897,564,280
3573867797,66,917,564,280
3573867797,67,917,544,280
3573867797,68,917,524,280
3573867797,69,917,504,280
3573867797,70,917,484,280
3573867797,71,917,464,280
3573867797,72,917,444,280
3573867797,73,937,444,280
3573867797,74,957,444,280
3573867797,75,977,444,280
3573867797,76,997,444,280
3573867797,77,1017,444,280
3573867797,78,1037,444,280
3573867797,79,1037,464,280
3573867797,80,1037,484,280
3573867797,81,1037,504,280
3573867797,82,1037,524,280
3573867797,83,1037,544,280
3573877798,0,960,417,270
3573877798,1,980,417,270
3573877798,2,1000,417,270
3573877798,3,1020,417,270
3573877798,4,1040,417,270
3573877798,5,1060,417,270
3573877798,6,1080,417,270
3573877798,7,1080,397,270
3573877798,8,1080,377,270
3573877798,9,1080,357,270
3573877798,10,1080,337,270
3573877798,11,1080,317,270
3573877798,12,1080,297,270
3573877798,13,1100,297,270
3573877798,14,1120,297,270
3573877798,15,1140,297,270
3573877798,16,1160,297,270
3573877798,17,1180,297,270
3573877798,18,1200,297,270
3573877798,19,1200,317,270
3573877798,20,1200,337,270
3573877798,21,1200,357,270
3573877798,22,1200,377,270
3573877798,23,1200,397,270
3573877798,24,1200,417,270
3573877798,25,1200,437,270
3573877798,26,1200,457,270
3573877798,27,1200,477,270
3573877798,28,1200,497,270
3573877798,29,1200,517,270
3573877798,30,1200,537,270
3573877798,31,1220,537,270
3573877798,32,1240,537,270
3573877798,33,1260,537,270
3573877798,34,1280,537,270
3573877798,35,1300,537,270
3573877798,36,1320,537,270
3573877798,37,1340,537,270
3573877798,38,1360,537,270
3573877798,39,1380,537,270
