index,x_pos,y_pos,z_pos
0,145.0,235.0,59.0
1,145.0,234.0,59.0
2,145.0,233.0,59.0
3,145.0,232.0,59.0
4,145.0,231.0,59.0
5,145.0,230.0,59.0
6,145.0,229.0,59.0
7,145.0,228.0,59.0
8,145.0,227.0,59.0
9,145.0,226.0,59.0
10,145.0,225.0,59.0
11,145.0,224.0,59.0
12,145.0,223.0,59.0
13,145.0,222.0,59.0
14,145.0,221.0,59.0
15,145.0,220.0,59.0
16,145.0,219.0,59.0
17,145.0,218.0,59.0
18,145.0,217.0,59.0
19,145.0,216.0,59.0
20,145.0,215.0,59.0
21,144.0,215.0,59.0
22,143.0,215.0,59.0
23,142.0,215.0,59.0
24,141.0,215.0,59.0
25,140.0,215.0,59.0
26,139.0,215.0,59.0
27,138.0,215.0,59.0
28,137.0,215.0,59.0
29,136.0,215.0,59.0
30,135.0,215.0,59.0
31,134.0,215.0,59.0
32,133.0,215.0,59.0
33,132.0,215.0,59.0
34,131.0,215.0,59.0
35,130.0,215.0,59.0
36,129.0,215.0,59.0
37,128.0,215.0,59.0
38,127.0,215.0,59.0
39,126.0,215.0,59.0
40,125.0,215.0,59.0
41,124.0,215.0,59.0
42,123.0,215.0,59.0
43,122.0,215.0,59.0
44,121.0,215.0,59.0
45,120.0,215.0,59.0
46,119.0,215.0,59.0
47,118.0,215.0,59.0
48,117.0,215.0,59.0
49,116.0,215.0,59.0
50,115.0,215.0,59.0
51,114.0,215.0,59.0
52,113.0,215.0,59.0
53,112.0,215.0,59.0
54,111.0,215.0,59.0
55,110.0,215.0,59.0
56,109.0,215.0,59.0
57,108.0,215.0,59.0
58,107.0,215.0,59.0
59,106.0,215.0,59.0
60,105.0,215.0,59.0
61,104.0,215.0,59.0
62,103.0,215.0,59.0
63,102.0,215.0,59.0
64,101.0,215.0,59.0
65,100.0,215.0,59.0
66,99.0,215.0,59.0
67,98.0,215.0,59.0
68,97.0,215.0,59.0
69,96.0,215.0,59.0
70,95.0,215.0,59.0
71,96.0,215.0,59.0
72,97.0,215.0,59.0
73,98.0,215.0,59.0
74,99.0,215.0,59.0
75,100.0,215.0,59.0
76,101.0,215.0,59.0
77,102.0,215.0,59.0
78,103.0,215.0,59.0
79,104.0,215.0,59.0
80,105.0,215.0,59.0
81,104.0,215.0,59.0
82,103.0,215.0,59.0
83,102.0,215.0,59.0
84,101.0,215.0,59.0
85,100.0,215.0,59.0
86,99.0,215.0,59.0
87,98.0,215.0,59.0
88,97.0,215.0,59.0
89,96.0,215.0,59.0
90,95.0,215.0,59.0
91,94.0,215.0,59.0
92,93.0,215.0,59.0
93,92.0,215.0,59.0
94,91.0,215.0,59.0
95,90.0,215.0,59.0
96,89.0,215.0,59.0
97,88.0,215.0,59.0
98,87.0,215.0,59.0
99,86.0,215.0,59.0
100,85.0,215.0,59.0
101,84.0,215.0,59.0
102,83.0,215.0,59.0
103,82.0,215.0,59.0
104,81.0,215.0,59.0
105,80.0,215.0,59.0
106,79.0,215.0,59.0
107,78.0,215.0,59.0
108,77.0,215.0,59.0
109,76.0,215.0,59.0
110,75.0,215.0,59.0
111,75.0,216.0,59.0
112,75.0,217.0,59.0
113,75.0,218.0,59.0
114,75.0,219.0,59.0
115,75.0,220.0,59.0
116,75.0,221.0,59.0
117,75.0,222.0,59.0
118,75.0,223.0,59.0
119,75.0,224.0,59.0
120,75.0,225.0,59.0
121,75.0,226.0,59.0
122,75.0,227.0,59.0
123,75.0,228.0,59.0
124,75.0,229.0,59.0
125,75.0,230.0,59.0
126,75.0,231.0,59.0
127,75.0,232.0,59.0
128,75.0,233.0,59.0
129,75.0,234.0,59.0
130,75.0,235.0,59.0
131,75.0,234.0,59.0
132,75.0,233.0,59.0
133,75.0,232.0,59.0
134,75.0,231.0,59.0
135,75.0,230.0,59.0
136,75.0,229.0,59.0
137,75.0,228.0,59.0
138,75.0,227.0,59.0
139,75.0,226.0,59.0
140,75.0,225.0,59.0
141,75.0,224.0,59.0
142,75.0,223.0,59.0
143,75.0,222.0,59.0
144,75.0,221.0,59.0
145,75.0,220.0,59.0
146,75.0,219.0,59.0
147,75.0,218.0,59.0
148,75.0,217.0,59.0
149,75.0,216.0,59.0
150,75.0,215.0,59.0
151,75.0,216.0,59.0
152,75.0,217.0,59.0
153,75.0,218.0,59.0
154,75.0,219.0,59.0
155,75.0,220.0,59.0
156,75.0,221.0,59.0
157,75.0,222.0,59.0
158,75.0,223.0,59.0
159,75.0,224.0,59.0
160,75.0,225.0,59.0
161,75.0,224.0,59.0
162,75.0,223.0,59.0
163,75.0,222.0,59.0
164,75.0,221.0,59.0
165,75.0,220.0,59.0
166,75.0,219.0,59.0
167,75.0,218.0,59.0
168,75.0,217.0,59.0
169,75.0,216.0,59.0
170,75.0,215.0,59.0
171,75.0,214.0,59.0
172,75.0,213.0,59.0
173,75.0,212.0,59.0
174,75.0,211.0,59.0
175,75.0,210.0,59.0
176,75.0,209.0,59.0
177,75.0,208.0,59.0
178,75.0,207.0,59.0
179,75.0,206.0,59.0
180,75.0,205.0,59.0
181,75.0,204.0,59.0
182,75.0,203.0,59.0
183,75.0,202.0,59.0
184,75.0,201.0,59.0
185,75.0,200.0,59.0
186,75.0,199.0,59.0
187,75.0,198.0,59.0
188,75.0,197.0,59.0
189,75.0,196.0,59.0
190,75.0,195.0,59.0
191,75.0,196.0,59.0
192,75.0,197.0,59.0
193,75.0,198.0,59.0
194,75.0,199.0,59.0
195,75.0,200.0,59.0
196,75.0,201.0,59.0
197,75.0,202.0,59.0
198,75.0,203.0,59.0
199,75.0,204.0,59.0
200,75.0,205.0,59.0
201,75.0,206.0,59.0
202,75.0,207.0,59.0
203,75.0,208.0,59.0
204,75.0,209.0,59.0
205,75.0,210.0,59.0
206,75.0,211.0,59.0
207,75.0,212.0,59.0
208,75.0,213.0,59.0
209,75.0,214.0,59.0
210,75.0,215.0,59.0
211,75.0,216.0,59.0
