index,x_pos,y_pos,z_pos,w_or,x_or,y_or,z_or,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,x_lin_acc,y_lin_acc,z_lin_acc,x_ang_acc,y_ang_acc,z_ang_acc
0.0,709.7765502929688,29.999679565429688,-269.98260498046875,0.9999731183052063,-0.0005617294227704406,-0.0070265429094433784,0.002063410822302103,-10.629668235778809,-0.015433934517204762,0.9046201705932617,-0.0134518351405859,-0.28707703948020935,0.1884591430425644,0.7619363069534302,-0.0011840621009469032,6.1993794441223145,5.800668239593506,58.201053619384766,-0.7425375580787659
0.01,708.8231201171875,29.997859954833984,-269.8818054199219,0.9970076680183411,-0.06523124128580093,-0.04117070883512497,0.005063868127763271,-10.546652793884277,-0.043225809931755066,1.1987327337265015,-2.579319715499878,-1.6889077425003052,-0.15100976824760437,1.4671452045440674,-1.2149826288223267,-0.07919502258300781,7.742777347564697,8.491992950439453,-5.780349254608154
0.02,707.788818359375,29.983110427856445,-269.7649841308594,0.9796339273452759,-0.17070649564266205,-0.10449163615703583,-0.01606622338294983,-10.326071739196777,-0.2990076541900635,1.1507413387298584,-1.561212182044983,-0.9670737385749817,-0.669175386428833,2.904158115386963,-3.881687879562378,-0.8451757431030273,10.240913391113281,3.572026014328003,-4.774957656860352
0.03,707.6651611328125,29.979238510131836,-269.7512512207031,0.9773687720298767,-0.17917931079864502,-0.11063271015882492,-0.020135553553700447,-10.290314674377441,-0.3472634553909302,1.1400233507156372,-1.4459822177886963,-0.9306597113609314,-0.7259872555732727,3.0470032691955566,-4.146099090576172,-0.9059886932373047,9.09543228149414,3.4742705821990967,-4.67786169052124
0.04,707.1141967773438,29.95391845703125,-269.69110107421875,0.9674259424209595,-0.20910067856311798,-0.13638252019882202,-0.04199822247028351,-10.10999584197998,-0.5998481512069702,1.0862364768981934,-1.0222290754318237,-0.7767664194107056,-0.9664117097854614,3.623776435852051,-5.184886932373047,-1.1057004928588867,6.248175621032715,1.403320550918579,-4.245811462402344
0.05,706.4256591796875,29.89936637878418,-269.6188049316406,0.9549567103385925,-0.23289598524570465,-0.1666857898235321,-0.07767215371131897,-9.83948802947998,-0.9929770827293396,1.0081510543823242,-0.7122255563735962,-0.6455552577972412,-1.2396621704101562,4.201403617858887,-6.180294036865234,-1.1719856262207031,3.04253888130188,1.2334858179092407,-3.69101619720459
0.060000000000000005,705.3327026367188,29.743276596069336,-269.5111389160156,0.9312515258789062,-0.25356540083885193,-0.21170245110988617,-0.15380920469760895,-9.323302268981934,-1.7677191495895386,0.8815749287605286,-0.5700987577438354,-0.4235822856426239,-1.6097720861434937,4.7572340965271,-7.323670387268066,-0.978053092956543,-0.2596742808818817,3.7106220722198486,-2.8110191822052
0.07,705.1656494140625,29.710254669189453,-269.49542236328125,0.9267877340316772,-0.25578561425209045,-0.2180115133523941,-0.1676582396030426,-9.236923217773438,-1.9015787839889526,0.8634600043296814,-0.5782634019851685,-0.38803568482398987,-1.6594620943069458,4.809669494628906,-7.500542163848877,-0.9643535614013672,-0.6540651321411133,2.946694850921631,-2.6921701431274414
0.08,704.91796875,29.656145095825195,-269.4724426269531,0.9196202158927917,-0.2588614821434021,-0.22679489850997925,-0.18935051560401917,-9.10689640045166,-2.1066153049468994,0.8391501307487488,-0.5867063999176025,-0.2922208607196808,-1.7294299602508545,4.731935977935791,-7.540180206298828,-0.6376552581787109,5.511320114135742,5.768482208251953,-2.4432175159454346
0.09,704.6199340820312,29.58258056640625,-269.4449462890625,0.9114559888839722,-0.2581949830055237,-0.23589132726192474,-0.2166534662246704,-8.954514503479004,-2.3522591590881348,0.8279519081115723,-0.11632923036813736,-0.06896821409463882,-1.804263949394226,4.664677619934082,-7.595585823059082,-0.44132232666015625,10.715583801269531,6.149765968322754,-2.1877031326293945
