index,x_pos,y_pos,z_pos,w_or,x_or,y_or,z_or,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,x_lin_acc,y_lin_acc,z_lin_acc,x_ang_acc,y_ang_acc,z_ang_acc
0.0,410.3905334472656,850.0,-260.0124206542969,0.999234676361084,-0.017105957493185997,0.035176146775484085,0.00025197616196237504,10.827844619750977,0.0017534230137243867,-0.34080496430397034,-2.3372156620025635,2.1155776977539062,-0.016372578218579292,-1.2745426893234253,-0.22537703812122345,1.5345125198364258,29.694469451904297,-56.165618896484375,-0.49377933144569397
0.01,412.71917724609375,849.950439453125,-260.09014892578125,0.9497097134590149,-0.2133997082710266,0.22298525273799896,-0.05281772091984749,9.947759628295898,-0.6403537392616272,-0.4248778522014618,-0.6220942139625549,1.0554115772247314,-0.9970170259475708,-6.436309814453125,-5.008610725402832,-0.8780488967895508,8.270191192626953,-3.832589626312256,-4.112524032592773
0.02,413.8346862792969,849.839599609375,-260.14605712890625,0.9272654056549072,-0.23835647106170654,0.2582627534866333,-0.1290946900844574,9.087186813354492,-1.2592418193817139,-0.5332611799240112,0.10329217463731766,0.8698933124542236,-1.4271914958953857,-8.208603858947754,-5.332641124725342,-0.9993419647216797,4.4999308586120605,0.09588514268398285,-3.242828369140625
0.03,414.8382263183594,849.6572875976562,-260.2158508300781,0.9003884792327881,-0.23694394528865814,0.2811508774757385,-0.2326207160949707,8.037919044494629,-1.840066909790039,-0.6645910143852234,0.4996963143348694,0.9862691164016724,-1.7589226961135864,-9.6822509765625,-4.412079811096191,-1.2621870040893555,2.4758622646331787,1.62953519821167,-2.4472744464874268
0.04,415.7505187988281,849.4021606445312,-260.3079528808594,0.8547307252883911,-0.21713915467262268,0.3024676442146301,-0.3616619110107422,6.771238803863525,-2.2663488388061523,-0.8388188481330872,0.7227124571800232,1.2200360298156738,-2.0156819820404053,-10.815234184265137,-2.347902297973633,-1.5605764389038086,1.256181240081787,2.033437490463257,-1.7534961700439453
0.05,416.3501892089844,849.1770629882812,-260.395751953125,0.8020522594451904,-0.19293996691703796,0.3159559369087219,-0.4686771631240845,5.729619979858398,-2.387709856033325,-0.9784963130950928,0.8030381202697754,0.7451022863388062,-2.1598052978515625,-10.113801002502441,-0.16025763750076294,-0.6779842376708984,-0.44324079155921936,-33.63646697998047,-1.1545811891555786
0.060000000000000005,416.7209777832031,849.0128173828125,-260.466064453125,0.7685303092002869,-0.1954018771648407,0.289143443107605,-0.5362604260444641,5.014060974121094,-2.37945818901062,-1.075009822845459,0.6896482706069946,-0.3615001440048218,-2.2320306301116943,-10.22170352935791,0.21275755763053894,-1.799586296081543,-2.0525808334350586,-8.800372123718262,-0.9327447414398193
0.07,417.1928405761719,848.7628784179688,-260.5903625488281,0.7140579223632812,-0.22466331720352173,0.22090499103069305,-0.6251789331436157,3.9894495010375977,-2.390536069869995,-1.3051695823669434,0.4381887912750244,-0.8720284104347229,-2.3143069744110107,-9.293039321899414,-0.6083844900131226,-2.4757776260375977,-2.5231316089630127,-3.3616600036621094,-0.6519337892532349
0.08,417.6233825683594,848.4520874023438,-260.77587890625,0.6296900510787964,-0.27981746196746826,0.13099512457847595,-0.7127642631530762,2.853512763977051,-2.5819437503814697,-1.6453410387039185,0.11040206998586655,-1.0029045343399048,-2.3820221424102783,-8.861871719360352,-2.4940314292907715,-2.7609071731567383,-2.775564670562744,0.3962106704711914,-0.43778687715530396
0.09,417.89630126953125,848.1290893554688,-260.98638916015625,0.528601348400116,-0.3359990119934082,0.05852357670664787,-0.7773417830467224,1.8070844411849976,-2.9708375930786133,-1.9382061958312988,-0.2567253112792969,-0.7874760031700134,-2.4251739978790283,-8.892791748046875,-3.926121234893799,-1.7955312728881836,-3.4745256900787354,11.364999771118164,-0.29968592524528503
