episode, time, reward
265,61.000000,-11.013832
266,48.000000,-3.510884
267,58.000000,-12.513152
268,53.000000,-8.012018
269,45.000000,0.989796
270,59.000000,-14.013379
271,52.000000,-9.511791
272,52.000000,-0.511791
273,51.000000,-5.011565
274,55.000000,-8.012472
275,43.000000,-2.009751
276,53.000000,-5.012018
277,50.000000,-9.511338
278,63.000000,-11.014286
279,52.000000,-6.511791
280,48.000000,-3.510884
281,50.000000,-3.511338
282,54.000000,-6.512245
283,50.000000,-9.511338
284,45.000000,-5.010204
285,44.000000,-3.509977
286,45.000000,-2.010204
287,47.000000,-2.010658
288,48.000000,-6.510884
289,43.000000,-5.009751
290,48.000000,-3.510884
291,42.000000,-3.509524
292,52.000000,-6.511791
293,50.000000,-6.511338
294,47.000000,-2.010658
295,48.000000,-3.510884
296,42.000000,-0.509524
297,50.000000,-6.511338
298,51.000000,-14.011565
299,55.000000,-8.012472
300,46.000000,-0.510431
301,46.000000,-3.510431
302,45.000000,-5.010204
303,49.000000,-8.011111
304,53.000000,-5.012018
305,43.000000,-5.009751
306,48.000000,-12.510884
307,48.000000,-3.510884
308,51.000000,-5.011565
309,55.000000,-5.012472
310,48.000000,-9.510884
311,45.000000,-8.010204
312,44.000000,-0.509977
313,48.000000,-3.510884
314,50.000000,-3.511338
315,45.000000,-2.010204
316,45.000000,-5.010204
317,44.000000,-0.509977
318,52.000000,-3.511791
319,46.000000,-3.510431
320,51.000000,-5.011565
321,46.000000,-0.510431
322,42.000000,-0.509524
323,40.000000,-0.509070
324,47.000000,-5.010658
325,46.000000,-0.510431
326,47.000000,-2.010658
327,51.000000,-5.011565
328,44.000000,-3.509977
329,47.000000,-2.010658
330,44.000000,-3.509977
331,46.000000,-3.510431
332,55.000000,-8.012472
333,44.000000,-3.509977
334,43.000000,0.990249
335,46.000000,-0.510431
336,45.000000,0.989796
337,41.000000,0.990703
338,45.000000,-2.010204
339,44.000000,-3.509977
340,43.000000,0.990249
341,40.000000,-0.509070
342,49.000000,-5.011111
343,52.000000,-3.511791
344,46.000000,-3.510431
345,42.000000,-0.509524
346,43.000000,0.990249
347,43.000000,-2.009751
348,40.000000,-0.509070
349,41.000000,-2.009297
350,43.000000,-2.009751
351,42.000000,-0.509524
352,46.000000,-0.510431
353,48.000000,-0.510884
354,43.000000,-2.009751
355,46.000000,-0.510431
356,44.000000,-3.509977
357,39.000000,0.991156
358,39.000000,0.991156
359,42.000000,-3.509524
360,40.000000,-0.509070
361,41.000000,-2.009297
362,39.000000,0.991156
363,44.000000,-0.509977
364,40.000000,-0.509070
365,42.000000,-0.509524
366,39.000000,0.991156
367,40.000000,-0.509070
368,43.000000,-2.009751
369,44.000000,-0.509977
370,40.000000,-0.509070
371,41.000000,-2.009297
372,43.000000,-5.009751
373,39.000000,0.991156
374,39.000000,0.991156
375,43.000000,-2.009751
376,45.000000,-2.010204
377,40.000000,-0.509070
378,40.000000,-0.509070
379,40.000000,-0.509070
380,43.000000,0.990249
381,39.000000,0.991156
382,41.000000,0.990703
383,44.000000,-0.509977
384,41.000000,-2.009297
385,40.000000,-0.509070
386,43.000000,-5.009751
387,45.000000,-2.010204
388,46.000000,-0.510431
389,40.000000,-0.509070
390,44.000000,-0.509977
391,41.000000,0.990703
392,39.000000,0.991156
393,42.000000,-0.509524
394,41.000000,0.990703
395,44.000000,-0.509977
396,41.000000,0.990703
397,44.000000,-0.509977
398,42.000000,-0.509524
399,39.000000,0.991156
400,41.000000,-2.009297
401,39.000000,0.991156
402,42.000000,-0.509524
403,45.000000,-5.010204
404,39.000000,0.991156
405,40.000000,-0.509070
406,40.000000,-0.509070
407,41.000000,-2.009297
408,43.000000,-2.009751
409,40.000000,-0.509070
410,40.000000,-0.509070
411,40.000000,-0.509070
412,39.000000,0.991156
413,39.000000,0.991156
414,39.000000,0.991156
415,40.000000,-0.509070
416,39.000000,0.991156
417,41.000000,0.990703
418,40.000000,-0.509070
419,39.000000,0.991156
420,41.000000,0.990703
421,39.000000,0.991156
422,40.000000,-0.509070
423,39.000000,0.991156
424,39.000000,0.991156
425,39.000000,0.991156
426,41.000000,0.990703
427,39.000000,0.991156
428,39.000000,0.991156
429,39.000000,0.991156
430,39.000000,0.991156
431,39.000000,0.991156
432,39.000000,0.991156
433,39.000000,0.991156
434,39.000000,0.991156
435,39.000000,0.991156
436,39.000000,0.991156
437,39.000000,0.991156
438,40.000000,-0.509070
439,41.000000,0.990703
440,39.000000,0.991156
441,39.000000,0.991156
442,39.000000,0.991156
443,39.000000,0.991156
444,39.000000,0.991156
445,39.000000,0.991156
446,39.000000,0.991156
447,39.000000,0.991156
448,39.000000,0.991156
449,39.000000,0.991156
450,39.000000,0.991156
451,39.000000,0.991156
452,39.000000,0.991156
453,39.000000,0.991156
454,39.000000,0.991156
455,39.000000,0.991156
456,39.000000,0.991156
457,39.000000,0.991156
458,39.000000,0.991156
459,39.000000,0.991156
460,39.000000,0.991156
461,39.000000,0.991156
462,39.000000,0.991156
463,39.000000,0.991156
464,39.000000,0.991156
465,39.000000,0.991156
466,39.000000,0.991156
467,39.000000,0.991156
468,39.000000,0.991156
469,39.000000,0.991156
470,39.000000,0.991156
471,39.000000,0.991156
472,39.000000,0.991156
473,39.000000,0.991156
474,39.000000,0.991156
475,39.000000,0.991156
476,39.000000,0.991156
477,39.000000,0.991156
478,39.000000,0.991156
479,39.000000,0.991156
480,39.000000,0.991156
481,39.000000,0.991156
482,39.000000,0.991156
483,41.000000,0.990703
484,39.000000,0.991156
485,39.000000,0.991156
486,39.000000,0.991156
487,39.000000,0.991156
488,39.000000,0.991156
489,39.000000,0.991156
490,39.000000,0.991156
491,39.000000,0.991156
492,39.000000,0.991156
493,39.000000,0.991156
494,41.000000,0.990703
495,39.000000,0.991156
496,39.000000,0.991156
497,39.000000,0.991156
498,39.000000,0.991156
499,39.000000,0.991156
500,39.000000,0.991156
501,39.000000,0.991156
502,39.000000,0.991156
503,39.000000,0.991156
504,39.000000,0.991156
505,39.000000,0.991156
506,39.000000,0.991156
507,39.000000,0.991156
508,39.000000,0.991156
509,39.000000,0.991156
510,39.000000,0.991156
511,39.000000,0.991156
512,39.000000,0.991156
513,39.000000,0.991156
514,39.000000,0.991156
515,39.000000,0.991156
516,39.000000,0.991156
517,39.000000,0.991156
518,39.000000,0.991156
519,39.000000,0.991156
520,39.000000,0.991156
521,39.000000,0.991156
522,39.000000,0.991156
523,39.000000,0.991156
524,39.000000,0.991156
525,39.000000,0.991156
526,39.000000,0.991156
527,39.000000,0.991156
528,39.000000,0.991156
529,39.000000,0.991156
530,39.000000,0.991156
531,39.000000,0.991156
532,39.000000,0.991156
533,39.000000,0.991156
534,39.000000,0.991156
535,39.000000,0.991156
536,39.000000,0.991156
537,39.000000,0.991156
538,39.000000,0.991156
539,39.000000,0.991156
540,39.000000,0.991156
541,39.000000,0.991156
542,39.000000,0.991156
543,39.000000,0.991156
544,41.000000,0.990703
545,39.000000,0.991156
546,39.000000,0.991156
547,39.000000,0.991156
548,39.000000,0.991156
549,39.000000,0.991156
