,x,y,z_pos,w_or,x_or,y_or,z_or,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,x_lin_acc,y_lin_acc,z_lin_acc,x_ang_acc,y_ang_acc,z_ang_acc,UAS id,UAS Relative time,UAS relative time,"z_pos,w_or,x_or,y_or,z_or,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,x_lin_acc,y_lin_acc,z_lin_acc,x_ang_acc,y_ang_acc,z_ang_acc"
0.0,690.054443359375,289.99981689453125,-100.00753784179688,0.9999977946281432,0.0003585493832360953,-0.0020274799317121506,-0.0004111576708965004,9.069796562194824,-0.0265360064804554,-1.2521910667419434,0.18355783820152285,-1.0789215564727783,-0.13594643771648407,-0.5189038515090942,0.002324796048924327,1.8325333595275881,21.718725204467773,-137.31703186035156,0.37420496344566345,97,0.0,,
1.0,696.1599731445312,288.7084045410156,-101.5204849243164,0.6241176128387451,-0.3017342388629913,0.09597699344158173,-0.71429842710495,1.8364293575286863,-2.416815280914306,-2.351212978363037,0.0070456499233841905,-1.0438910722732544,-2.3902297019958496,-8.65415096282959,-3.662478685379028,-2.650009155273437,-2.9049904346466064,0.7719321250915527,-0.4247298836708069,97,1.0,,
2.0,695.0844116210938,285.8392333984375,-103.41910552978516,-0.012855230830609798,-0.2862863838672638,-0.027112342417240143,-0.957674205303192,-3.626506567001343,-3.8631842136383057,-1.3880927562713623,-0.06001637876033782,0.05649784207344055,0.31022343039512634,-4.898353099822998,-0.3010397553443909,2.303931713104248,-1.3541845083236694,-0.3143464028835297,5.479536056518555,97,2.0,,
3.0,689.53759765625,282.4071350097656,-104.36809539794922,0.1337651014328003,-0.2408484220504761,0.0613800510764122,-0.9593390822410583,-8.356315612792969,-3.7214543819427486,-0.17468513548374176,-0.024828698486089703,0.4743099510669708,-0.5429418087005615,-2.8924720287323,0.4970025420188904,3.701747894287109,0.33319419622421265,0.07817995548248291,0.16649450361728668,97,3.0,,
4.0,680.2529907226562,279.18829345703125,-103.50077056884766,0.07897017151117325,-0.09040119498968124,0.06787781417369843,-0.9904463291168212,-10.330387115478516,-2.7244086265563965,1.3562575578689575,0.028906598687171936,0.15105198323726654,-0.04547462612390518,-1.1531529426574707,1.3139104843139648,0.09792041778564453,-0.18621325492858887,-0.2384601831436157,-0.5276390314102173,97,4.0,,
5.0,669.6869506835938,277.14279174804693,-102.32579803466795,0.024378888309001926,-0.05464845150709152,0.05405547469854355,-0.996743381023407,-11.010271072387695,-1.4668152332305908,1.0092487335205078,0.04345164448022842,0.03706001862883568,-0.05449352785944939,-0.34012800455093384,1.114502191543579,-0.285186767578125,-0.16230084002017975,-0.047664482146501534,0.12495194375514986,97,5.0,,
6.0,658.9076538085938,276.1722412109375,-101.48455047607422,0.00472749676555395,-0.04501927644014359,0.03250735625624657,-0.9984458684921264,-11.201079368591307,-0.6087827086448669,0.7196372151374817,0.03879223018884659,0.01089690811932087,-0.036261405795812614,-0.1031591296195984,0.6651049852371216,-0.31606578826904297,-0.09092989563941956,-0.011692178435623646,0.039345741271972656,97,6.0,,
7.0,648.324462890625,275.8382568359375,-100.93256378173828,-0.004000976216048002,-0.04223024472594261,0.016145668923854828,-0.9989694356918336,-11.256821632385254,-0.15407615900039673,0.4634779393672943,0.028381651267409325,0.0033273359294980764,-0.009570135734975338,-0.0311739444732666,0.3227834105491638,-0.2502126693725586,-0.008554734289646149,-0.003221072955057025,0.01261049881577492,97,7.0,,
8.0,637.2027587890625,275.8013916015625,-100.57505798339844,-0.005271280184388161,-0.04144647717475891,0.005215173587203026,-0.9991132616996764,-11.272743225097654,0.04298306629061699,0.2746716141700745,0.016021249815821648,0.0007101040682755411,0.0013916708994656801,-0.008065342903137207,0.10009661316871643,-0.16141796112060547,-0.008682851679623127,-0.00022379413712769747,0.006330352742224932,97,8.0,,
9.0,625.999755859375,275.87258911132807,-100.49630737304688,-0.0034467775840312247,-0.041104577481746674,-0.0001160308456746861,-0.9991489052772522,-11.271482467651367,0.08309485763311386,0.11545289307832718,0.006095653865486384,0.003344881348311901,0.004201539792120457,-0.23654168844223025,-0.004740274511277676,-2.986012458801269,-0.01188145112246275,1.0385315418243408,-0.0001898977352539077,97,9.0,,
10.0,614.9039306640625,275.94540405273443,-100.49522399902344,-0.001501488033682108,-0.04130711406469345,-0.0016039973124861715,-0.9991440773010254,-11.277947425842285,0.060357127338647835,-0.04833314195275307,0.0007360344752669334,0.0022753707598894835,0.003252500668168068,-0.021050214767456055,-0.0335998460650444,-0.3078603744506836,0.0007247981266118586,0.010621199384331705,-0.0016797970747575164,97,10.0,,
11.0,603.9825439453125,275.98907470703125,-100.49708557128906,-0.00031571483123116195,-0.04136134311556816,-0.0014157179975882173,-0.9991432428359984,-11.276907920837402,0.029501410201191906,-0.054882071912288666,-0.0011472160695120694,0.002086444292217493,0.0016906136879697444,-0.006694912910461426,-0.02837375551462173,-0.11895465850830078,0.0007947924896143378,-0.02719968557357788,-0.0017109861364588141,97,11.0,,
12.0,592.892822265625,276.00668334960943,-100.49853515625,0.00017234070401173082,-0.04135087132453919,-0.0007779828738421202,-0.999144434928894,-11.27665901184082,0.008129199966788292,-0.05707404389977455,-0.0012788553722202778,0.0016586327692493794,0.0004687306354753673,-0.0008955597877502441,-0.015224068425595759,-0.05109214782714844,0.003542104503139853,-0.010167332366108894,-0.0008831925806589426,97,12.0,,
13.0,582.208984375,276.00894165039057,-100.498291015625,0.00023607106413692241,-0.04137667268514633,-0.000277376122539863,-0.9991436004638672,-11.276432991027832,-0.001275115180760622,-0.05557168647646904,-0.0007725258474238218,0.0018350685713812707,-0.00010744490282377228,-0.0035489797592163095,-0.005309350322932005,-0.07660198211669922,0.0009535128483548759,-0.008454311639070509,4.813687337446026e-05,97,13.0,,
14.0,571.1879272460938,275.95147705078125,-100.52676391601562,0.07042809575796127,-0.03332944214344025,-0.12611708045005798,-0.9889507293701172,-11.255857467651367,-0.4819849133491516,-0.2984609007835388,0.8497435450553894,0.09474164247512816,0.7135114073753357,0.15998727083206174,-3.182931661605835,-2.8356723785400386,0.2529619336128235,0.6020603775978088,1.9792318344116209,97,14.0,,
15.0,560.9144897460939,272.4981689453125,-102.38414001464844,0.6243784427642822,-0.05018710345029831,-0.3321473598480225,-0.7052028179168701,-8.717636108398438,-6.9373741149902335,-2.907547950744629,0.5511097908020021,-0.12273713946342467,1.2847460508346558,4.771503448486328,-6.260709285736084,0.4532632827758789,0.3347460627555847,0.2972373962402344,-2.7728419303894043,97,15.0,,
16.0,555.2510986328125,263.36871337890625,-104.5707778930664,0.7125439643859863,0.10142017900943756,-0.28186362981796265,-0.6344667077064514,-3.289179801940918,-10.870648384094238,-0.9151716232299804,-0.2318159937858581,0.4048949182033539,-0.25556427240371704,3.5686123371124268,-0.7242954969406128,4.417463302612305,-0.55029296875,-0.6348248124122621,0.7790578603744507,97,16.0,,
17.0,553.46630859375,252.581787109375,-103.58560180664062,0.7611808180809021,0.1128898784518242,-0.1665501594543457,-0.6165393590927124,-0.4900852143764496,-10.879066467285156,2.6687281131744385,0.2695667445659637,0.18379925191402435,0.34081101417541504,2.768348217010498,0.4919896721839905,2.9593753814697266,4.9774017333984375,1.0954031944274902,0.7845497131347656,97,17.0,,
18.0,554.9317016601561,243.5697784423828,-101.25051879882812,0.9477593898773192,0.2821582853794098,-0.10355108976364136,0.10684569925069808,2.8672966957092285,-5.372481346130371,0.5815367698669434,0.0712263211607933,-0.8129590749740601,2.322258949279785,2.1612343788146973,9.414064407348633,-3.798619270324707,2.0202491283416752,-3.4619641304016118,0.6747385859489441,97,18.0,,
19.0,558.0391845703125,242.66192626953125,-101.37808990478516,0.4431938529014587,0.2448089271783829,-0.1479310244321823,0.8495671153068542,2.0970146656036377,2.316848993301392,0.13229010999202728,0.2406623810529709,0.052331451326608665,-0.20041270554065704,-3.3373680114746094,5.3793230056762695,0.14055252075195312,1.2473119497299194,-0.361286997795105,-4.411611080169678,97,19.0,,
20.0,557.7285766601561,247.41049194335938,-101.55706787109376,0.3737218081951141,0.28455162048339844,-0.033803042024374015,0.882167637348175,-2.5601365566253658,6.4099650382995605,0.8009485602378845,2.8573491573333736,2.4911036491394043,0.7244119048118591,-3.902916431427002,2.1971867084503174,2.6883978843688965,22.10580062866211,51.39690399169922,4.655631065368652,97,20.0,,
