UAS id,UAS Relative time,x,y,z_pos,w_or,x_or,y_or,z_or,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,x_lin_acc,y_lin_acc,z_lin_acc,x_ang_acc,y_ang_acc,z_ang_acc
97,0.0,690.0947265625,289.9993896484375,-100.01223754882812,0.9999115467071532,0.0013253173092380164,-0.013233412057161331,-0.00032371372799389064,7.8888068199157715,-0.04915294796228409,-0.9723811745643616,0.17793959379196167,-1.9596915245056152,-0.05234810709953308,-0.31342804431915283,0.00893460400402546,5.561326503753662,-11.463042259216307,82.28543853759766,0.2286612391471863
97,0.1,694.5105590820312,289.25579833984375,-100.75568389892578,0.7972206473350525,-0.20555879175662994,0.2807769477367401,-0.4933043718338013,3.349028348922729,-2.076763391494751,-1.2944655418395996,0.6525887846946716,-0.31670162081718445,-2.1889116764068604,-9.75531005859375,-0.7024283409118652,-1.4154119491577148,-1.7795292139053345,-8.90546703338623,-1.0966554880142212
97,0.2,693.9021606445312,286.2114562988281,-102.59764862060548,0.010385225526988506,-0.2930687665939331,-0.023670339956879616,-0.9557419419288636,-3.770091772079468,-4.0710649490356445,-1.3876011371612549,0.017223943024873734,0.18047288060188293,-0.6265944838523865,-4.2270259857177725,-0.2840062379837036,3.5047411918640137,-0.5349990129470825,-1.5297428369522097,6.627400875091553
97,0.30000000000000004,687.4924926757812,282.119384765625,-103.35497283935548,0.14844289422035215,-0.2038356363773346,0.07008667290210724,-0.9651443362236024,-8.765563011169434,-3.9443166255950928,-0.07079517096281053,-0.025159725919365883,0.4378052055835724,-0.4948374629020691,-2.6764845848083496,0.7314199209213257,2.824681282043457,0.5390533208847046,-0.27920210361480713,-0.36621713638305664
97,0.4,678.3402709960938,278.8973999023437,-102.71971893310548,0.0738474503159523,-0.08425251394510269,0.07567508518695831,-0.9908185005187988,-10.462117195129396,-2.799690723419189,0.9914722442626952,0.013674323447048664,0.12978620827198029,-0.036277387291193015,-1.0458080768585205,1.4980683326721191,-0.008713722229003906,-0.02991252765059471,-0.19734451174736026,-0.4854136109352112
97,0.5,674.3193359375,277.94827270507807,-102.3632354736328,0.0515870563685894,-0.06698721647262572,0.07348263263702393,-0.9937061071395874,-10.79283618927002,-2.217263698577881,0.8511115312576294,0.0032732395920902486,0.07619412988424301,-0.16091421246528625,-0.7181044220924377,1.5617516040802002,-0.6212997436523438,0.07355860620737076,-0.09932134300470352,-0.08623018860816956
97,0.6,671.7444458007812,277.4644775390625,-102.16793060302734,0.03325846046209335,-0.060540378093719475,0.06884041428565979,-0.9952335357666016,-10.925721168518066,-1.8716577291488647,0.8146918416023254,0.04697253182530403,0.05467567965388298,-0.13093407452106476,-0.458325982093811,1.3834797143936155,-0.003085136413574219,0.4858797788619995,-0.07533836364746094,0.276255339384079
97,0.7,662.2140502929688,276.30947875976557,-101.51045989990234,0.009109622798860071,-0.04737284407019615,0.04489196464419365,-0.9978264570236206,-11.16761875152588,-0.8797796964645386,0.6861770749092102,0.05051647499203682,0.018080025911331173,-0.04211387038230896,-0.1498921513557434,0.9106467962265016,-0.19063568115234372,0.2441612482070923,-0.026257287710905075,-0.018979830667376518
97,0.7999999999999999,651.51220703125,275.81036376953125,-100.96060180664062,-0.0049049467779696,-0.04283203184604645,0.022686490789055824,-0.9988126754760742,-11.249648094177246,-0.23997899889945984,0.4678246974945069,0.03773719817399978,0.005409177858382464,-0.012675446458160877,-0.042680144309997566,0.4538855254650116,-0.23514270782470706,-0.047398585826158524,-0.003061057068407536,0.02389422059059143
97,0.8999999999999999,641.273681640625,275.73486328125,-100.6174774169922,-0.006990791764110328,-0.04160522669553757,0.008627920411527157,-0.9990724325180054,-11.27024745941162,0.030521688982844356,0.29614195227622986,0.02319828420877457,0.0013554468750953676,-0.00019781835726462305,-0.010590195655822754,0.16699810326099396,-0.15790557861328125,0.0019246647134423254,-0.001991346012800932,0.011658583767712116
97,1.0,630.7167358398438,275.81005859375,-100.49037170410156,-0.005118519067764282,-0.04076281189918518,0.0008844938711263238,-0.999155342578888,-11.286081314086914,0.10708391666412354,-0.023595858365297318,0.010358168743550776,0.003854849142953753,0.005208062008023262,-0.06508928537368774,0.015589556656777859,-1.0030250549316406,-0.016228660941123962,0.13611423969268802,0.0007690081838518381
97,1.1,619.6529541015625,275.91064453125,-100.4964599609375,-0.0024501937441527843,-0.04124228283762932,-0.0019086621468886735,-0.999144434928894,-11.278716087341307,0.08756773173809053,-0.051813360303640366,0.0020381833892315626,0.0021891542710363865,0.0045717298053205005,-0.015172719955444338,-0.04028128832578659,-0.2534494400024414,-0.009520321153104305,0.013970986008644104,-0.0022576767951250076
97,1.2,609.2731323242188,275.97344970703125,-100.49311065673828,-0.0007488381233997643,-0.041549012064933784,-0.0020117140375077724,-0.9991341829299928,-11.271318435668945,0.04911179840564728,0.01464682910591364,-0.0009458590648137033,0.0022325771860778327,0.002730412874370813,-0.13149034976959229,-0.046310804784297936,-1.5712728500366209,-0.0070386771112680435,-0.14492420852184296,-0.002394023817032576
97,1.3,598.048095703125,276.00491333007807,-100.49398803710938,0.00011000499944202602,-0.041526775807142265,-0.001233801944181323,-0.9991366267204284,-11.27373504638672,0.016643548384308815,-0.02015204168856144,-0.001816833857446909,0.0050020026974380025,0.0009871239308267832,-0.06908822059631348,-0.0262018907815218,-0.8266706466674805,0.0067264242097735405,0.052748359739780426,-0.0011168441269546747
