,x_pos,y_pos,z_pos
0,1,0,-10
1,2,0,-10
2,1,0,-10
3,2,0,-10
4,3,0,-10
5,4,0,-10
6,5,0,-10
7,6,0,-10
8,7,0,-10
9,8,0,-10
10,8,1,-10
11,8,0,-10
12,9,0,-10
13,8,0,-10
14,9,0,-10
15,8,0,-10
16,9,0,-10
17,10,0,-10
18,11,0,-10
19,10,0,-10
20,9,0,-10
21,8,0,-10
22,7,0,-10
23,8,0,-10
24,9,0,-10
25,8,0,-10
26,9,0,-10
27,8,0,-10
28,9,0,-10
29,10,0,-10
30,9,0,-10
31,8,0,-10
32,9,0,-10
33,10,0,-10
34,11,0,-10
35,10,0,-10
36,9,0,-10
37,10,0,-10
38,11,0,-10
39,10,0,-10
40,9,0,-10
41,8,0,-10
42,8,1,-10
43,8,0,-10
44,8,1,-10
45,8,0,-10
46,8,1,-10
47,8,2,-10
48,8,3,-10
49,8,2,-10
50,8,1,-10
51,8,0,-10
52,9,0,-10
53,8,0,-10
54,9,0,-10
55,10,0,-10
56,9,0,-10
57,8,0,-10
58,9,0,-10
59,10,0,-10
60,9,0,-10
61,10,0,-10
62,9,0,-10
63,8,0,-10
64,8,1,-10
65,8,0,-10
66,7,0,-10
67,6,0,-10
68,7,0,-10
69,8,0,-10
70,7,0,-10
71,8,0,-10
72,8,1,-10
73,8,0,-10
74,9,0,-10
75,8,0,-10
76,8,1,-10
77,8,0,-10
78,9,0,-10
79,8,0,-10
80,7,0,-10
81,8,0,-10
82,8,1,-10
83,8,0,-10
84,7,0,-10
85,8,0,-10
86,7,0,-10
87,8,0,-10
88,8,1,-10
89,8,0,-10
90,8,1,-10
91,8,2,-10
92,8,3,-10
93,8,4,-10
94,8,3,-10
95,8,2,-10
96,8,1,-10
97,8,0,-10
98,8,1,-10
99,8,0,-10
100,9,0,-10
101,10,0,-10
102,11,0,-10
103,10,0,-10
104,11,0,-10
105,12,0,-10
106,11,0,-10
107,10,0,-10
108,9,0,-10
109,8,0,-10
110,9,0,-10
111,8,0,-10
112,7,0,-10
113,8,0,-10
114,9,0,-10
115,10,0,-10
116,9,0,-10
117,10,0,-10
118,9,0,-10
119,10,0,-10
120,9,0,-10
121,8,0,-10
122,8,1,-10
123,8,2,-10
124,8,1,-10
125,8,0,-10
126,7,0,-10
127,6,0,-10
128,5,0,-10
129,6,0,-10
130,5,0,-10
131,6,0,-10
132,7,0,-10
133,6,0,-10
134,7,0,-10
135,6,0,-10
136,7,0,-10
137,6,0,-10
138,5,0,-10
139,4,0,-10
140,4,1,-10
141,4,2,-10
142,4,1,-10
143,4,0,-10
144,3,0,-10
145,4,0,-10
146,3,0,-10
147,4,0,-10
148,4,1,-10
149,4,2,-10
150,4,3,-10
