,x_pos,y_pos,z_pos
0,0,1,-10
1,0,0,-10
2,0,1,-10
3,0,2,-10
4,0,1,-10
5,0,0,-10
6,1,0,-10
7,2,0,-10
8,1,0,-10
9,2,0,-10
10,3,0,-10
11,2,0,-10
12,1,0,-10
13,2,0,-10
14,1,0,-10
15,0,0,-10
16,1,0,-10
17,2,0,-10
18,3,0,-10
19,2,0,-10
20,3,0,-10
21,4,0,-10
22,5,0,-10
23,6,0,-10
24,7,0,-10
25,8,0,-10
26,9,0,-10
27,8,0,-10
28,7,0,-10
29,8,0,-10
30,9,0,-10
31,10,0,-10
32,9,0,-10
33,8,0,-10
34,7,0,-10
35,8,0,-10
36,9,0,-10
37,10,0,-10
38,9,0,-10
39,10,0,-10
40,9,0,-10
41,10,0,-10
42,11,0,-10
43,12,0,-10
44,13,0,-10
45,14,0,-10
46,14,1,-10
47,14,0,-10
48,14,1,-10
49,14,2,-10
50,14,3,-10
51,14,4,-10
52,14,3,-10
53,14,4,-10
54,14,5,-10
55,14,4,-10
56,14,5,-10
57,14,6,-10
58,14,7,-10
59,14,8,-10
60,14,7,-10
61,15,7,-10
62,16,7,-10
63,17,7,-10
64,16,7,-10
65,15,7,-10
66,16,7,-10
67,17,7,-10
68,18,7,-10
69,19,7,-10
70,20,7,-10
71,21,7,-10
72,21,8,-10
73,21,7,-10
74,21,8,-10
75,21,9,-10
76,21,10,-10
77,21,9,-10
78,21,10,-10
79,21,11,-10
80,21,12,-10
81,21,11,-10
82,21,12,-10
83,21,13,-10
84,21,12,-10
85,21,13,-10
86,21,12,-10
87,21,13,-10
88,21,12,-10
89,21,11,-10
90,21,12,-10
91,21,13,-10
92,21,14,-10
93,20,14,-10
94,21,14,-10
95,21,15,-10
96,21,16,-10
97,21,17,-10
98,21,18,-10
99,21,19,-10
100,21,20,-10
101,21,21,-10
