,x_pos,y_pos,z_pos
0,1,0,-10
1,0,0,-10
2,0,1,-10
3,0,2,-10
4,0,1,-10
5,0,0,-10
6,1,0,-10
7,0,0,-10
8,0,1,-10
9,0,0,-10
10,1,0,-10
11,2,0,-10
12,1,0,-10
13,2,0,-10
14,3,0,-10
15,4,0,-10
16,5,0,-10
17,6,0,-10
18,7,0,-10
19,7,1,-10
20,7,0,-10
21,7,1,-10
22,7,2,-10
23,7,3,-10
24,7,4,-10
25,7,5,-10
26,7,4,-10
27,7,5,-10
28,7,6,-10
29,7,7,-10
30,8,7,-10
31,9,7,-10
32,10,7,-10
33,11,7,-10
34,12,7,-10
35,11,7,-10
36,12,7,-10
37,11,7,-10
38,10,7,-10
39,9,7,-10
40,10,7,-10
41,11,7,-10
42,12,7,-10
43,13,7,-10
44,14,7,-10
45,15,7,-10
46,16,7,-10
47,17,7,-10
48,18,7,-10
49,17,7,-10
50,18,7,-10
51,19,7,-10
52,18,7,-10
53,19,7,-10
54,20,7,-10
55,21,7,-10
56,21,8,-10
57,21,7,-10
58,21,6,-10
59,21,7,-10
60,20,7,-10
61,21,7,-10
62,22,7,-10
63,23,7,-10
64,24,7,-10
65,23,7,-10
66,22,7,-10
67,21,7,-10
68,21,8,-10
69,21,9,-10
70,21,10,-10
71,21,11,-10
72,21,12,-10
73,21,11,-10
74,21,12,-10
75,21,13,-10
76,21,14,-10
77,22,14,-10
78,21,14,-10
79,21,15,-10
80,21,16,-10
81,21,15,-10
82,21,16,-10
83,21,17,-10
84,21,16,-10
85,21,17,-10
86,21,18,-10
87,21,19,-10
88,21,18,-10
89,21,19,-10
90,21,20,-10
91,21,21,-10
