id,time,x,y,z
3575457780,102,1833,152,220
3575457780,103,1833,172,220
3575457780,104,1833,192,220
3575457780,105,1833,212,220
3575457780,106,1833,232,220
3575457780,107,1833,252,220
3575457781,0,959,286,120
3575457781,1,979,286,120
3575457781,2,999,286,120
3575457781,3,1019,286,120
3575457781,4,1039,286,120
3575457781,5,1059,286,120
3575457781,6,1079,286,120
3575457781,7,1079,306,120
3575457781,8,1079,326,120
3575457781,9,1079,346,120
3575457781,10,1079,366,120
3575457781,11,1079,386,120
3575457781,12,1079,406,120
3575457781,13,1079,426,120
3575457781,14,1079,446,120
3575457781,15,1079,466,120
3575457781,16,1079,486,120
3575457781,17,1079,506,120
3575457781,18,1079,526,120
3575457781,19,1079,546,120
3575457781,20,1079,566,120
3575457781,21,1079,586,120
3575457781,22,1079,606,120
3575457781,23,1079,626,120
3575457781,24,1079,646,120
3575457781,25,1099,646,120
3575457781,26,1119,646,120
3575457781,27,1139,646,120
3575457781,28,1159,646,120
3575457781,29,1179,646,120
3575457781,30,1199,646,120
3575457781,31,1199,666,120
3575457781,32,1199,686,120
3575457781,33,1199,706,120
3575457781,34,1199,726,120
3575457781,35,1199,746,120
3575457781,36,1199,766,120
3575457781,37,1199,786,120
3575457781,38,1199,806,120
3575457781,39,1199,826,120
3575457781,40,1199,846,120
3575457781,41,1199,866,120
3575457781,42,1199,886,120
3575457781,43,1179,886,120
3575457781,44,1159,886,120
3575457781,45,1139,886,120
3575457781,46,1119,886,120
3575457781,47,1099,886,120
3575457781,48,1079,886,120
3575457781,49,1079,866,120
3575457781,50,1079,846,120
3575457781,51,1079,826,120
3575457781,52,1079,806,120
3575457781,53,1079,786,120
3575457781,54,1079,766,120
3575457781,55,1079,746,120
3575457781,56,1079,726,120
3575457781,57,1079,706,120
3575457781,58,1079,686,120
3575457781,59,1079,666,120
3575457781,60,1079,646,120
3575457781,61,1099,646,120
3575457781,62,1119,646,120
3575457781,63,1139,646,120
3575457781,64,1159,646,120
3575457781,65,1179,646,120
3575457781,66,1199,646,120
3575457781,67,1219,646,120
3575457781,68,1239,646,120
3575457781,69,1259,646,120
3575457781,70,1279,646,120
3575457781,71,1299,646,120
3575457781,72,1319,646,120
3575457781,73,1339,646,120
3575457781,74,1359,646,120
3575457781,75,1379,646,120
3575457781,76,1399,646,120
3575457781,77,1419,646,120
3575457782,0,981,30,150
3575457782,1,1001,30,150
3575457782,2,1021,30,150
3575457782,3,1041,30,150
3575457782,4,1061,30,150
3575457782,5,1081,30,150
3575457782,6,1101,30,150
3575457782,7,1101,10,150
3575457782,8,1101,-10,150
3575457782,9,1101,-30,150
3575457782,10,1101,-50,150
3575457782,11,1101,-70,150
3575457782,12,1101,-90,150
3575457782,13,1101,-110,150
3575457782,14,1101,-130,150
3575457782,15,1101,-150,150
3575457782,16,1101,-170,150
3575457782,17,1101,-190,150
3575457782,18,1101,-210,150
3575457782,19,1081,-210,150
3575457782,20,1061,-210,150
3575457782,21,1041,-210,150
3575457782,22,1021,-210,150
3575457782,23,1001,-210,150
3575457782,24,981,-210,150
3575457782,25,981,-190,150
3575457782,26,981,-170,150
3575457782,27,981,-150,150
3575457782,28,981,-130,150
3575457782,29,981,-110,150
3575457782,30,981,-90,150
3575457782,31,961,-90,150
3575457782,32,941,-90,150
3575457782,33,921,-90,150
3575457782,34,901,-90,150
3575457782,35,881,-90,150
3575457782,36,861,-90,150
3575457782,37,841,-90,150
3575457782,38,821,-90,150
3575457782,39,801,-90,150
3575457782,40,781,-90,150
3575457782,41,761,-90,150
3575457782,42,741,-90,150
3575457782,43,761,-90,150
3575457782,44,781,-90,150
3575457782,45,801,-90,150
3575457782,46,821,-90,150
3575457782,47,841,-90,150
3575457782,48,861,-90,150
3575457782,49,861,-70,150
3575457782,50,861,-50,150
3575457782,51,861,-30,150
3575457782,52,861,-10,150
3575457782,53,861,10,150
3575457782,54,861,30,150
3575457782,55,881,30,150
3575457782,56,901,30,150
3575457782,57,921,30,150
3575457782,58,941,30,150
3575457782,59,961,30,150
3575457782,60,981,30,150
3575457782,61,1001,30,150
3575457782,62,1021,30,150
3575457782,63,1041,30,150
3575457782,64,1061,30,150
3575457782,65,1081,30,150
3575457782,66,1101,30,150
3575457782,67,1101,50,150
3575457782,68,1101,70,150
3575457782,69,1101,90,150
3575457782,70,1101,110,150
3575457782,71,1101,130,150
3575467782,0,138,321,140
3575467782,1,158,321,140
3575467782,2,178,321,140
3575467782,3,198,321,140
3575467782,4,218,321,140
3575467782,5,238,321,140
3575467782,6,258,321,140
3575467782,7,258,301,140
3575467782,8,258,281,140
3575467782,9,258,261,140
3575467782,10,258,241,140
3575467782,11,258,221,140
3575467782,12,258,201,140
3575467782,13,258,181,140
3575467782,14,258,161,140
3575467782,15,258,141,140
3575467782,16,258,121,140
3575467782,17,258,101,140
3575467782,18,258,81,140
3575467782,19,278,81,140
3575467782,20,298,81,140
3575467782,21,318,81,140
3575467782,22,338,81,140
3575467782,23,358,81,140
3575467782,24,378,81,140
3575467782,25,378,61,140
3575467782,26,378,41,140
3575467782,27,378,21,140
3575467782,28,378,1,140
3575467782,29,378,-19,140
3575467782,30,378,-39,140
3575467782,31,358,-39,140
